row,context,tag,text,yesno,reply,hot,answer,checked
2,snakes,snakes-2,and the venom is poisonous to humans if they get accidentally bitten?,yes,"yes, the venom would definitely be dangerous",,,
3,bicycle,bicycle-3,are the bicycles real?,no,no,,,
4,bicycle,bicycle-4,are the chairs stacked,no,"No, the chairs are not.",,,
5,snakes,snakes-5,Are the snakes flown in from elsewhere?,no,no,,,
6,snakes,snakes-6,Are the snakes flown in from somewhere?,no,no,,,
7,snakes,snakes-7,are the type of snakes important?,no,no,,,
8,snakes,snakes-8,can you fly to the facility?,Yes,Yes,,,
9,newspaper,newspaper-9,circulation per issue is 6th highest in its country,yes,Yes,,,
10,blood,blood-10,Did a cannibal ate the receivers bone marrow and then killed someone?,No!,No!,,,
11,airport,airport-11,did anyone visit the airport?,no,no - in the end it wasn't built,,,
12,bicycle,bicycle-12,did he get robbed,no,no,,,
13,bicycle,bicycle-13,did he got shot,yes,yes,,,
14,bicycle,bicycle-14,did he have a heart attack,no,no,,,
15,blood,blood-15,did he leave the jail?,no,"No, he did not leave the jail",,,
16,bicycle,bicycle-16,did he rob someone else,yes,"yes - kind of, the actions leading to his death could have been considered robbery",,,
17,blood,blood-17,did it happen in a sperm bank?,no,no,,,
18,blood,blood-18,did the jailed man donate bone marrow to his brother?,no,"No, the man did not have a brother",,,
19,blood,blood-19,did the jailed man donated bone marrow to the real killer?,yes,"Yes, the jailed man donated bone marrow to the killer",,,
20,blood,blood-20,did the lab have bad or wrong test results?,no,no,,,
21,snakes,snakes-21,did the last Person who got poisoned die?,no,no,,,
22,blood,blood-22,did the man donate blood?,no,"No, but you're closer now",3,,
23,blood,blood-23,did the man in jail buy blood from another person therefore being the owner of said blood?,no,No one bought blood,,,
24,blood,blood-24,Did the man in jail commit the crime?,no,No!,,,
25,blood,blood-25,did the man in jail do it?,no,Does the victim matter? not really,,,
26,blood,blood-26,did the man in jail donate clothes,no,ahhaha no,,,
27,blood,blood-27,did the man in jail donate something from his body to someone else?,yes,yes,,,
28,blood,blood-28,did the man in jail donate something relevant to this case?,yes,yes!,,,
29,blood,blood-29,"did the man in jail ever come in contact with the victim, the murder weapon, or the location of the murder?",no,no,,,
30,blood,blood-30,did the man in jail have an illegitimate child?,no,no,,,
31,blood,blood-31,did the man know the deceased?,no,"no, he did not know the deceased",,,
32,blood,blood-32,did the man touch the murder weapon?,no,"No, the man in jail did not touch the murder weapon",,,
33,airport,airport-33,did the people steal an airplane?,yes,yes!,4,,
34,blood,blood-34,did the suspect donate organs?,no,"No, the suspect did not donate organs",,,
35,blood,blood-35,did the suspect donate sperm?,no,"No, no sperm",,,
36,blood,blood-36,did the victim and man in jail come into contact?,No,No,,,
37,blood,blood-37,did the victim die before the man was in jail and was then uncovered while he was serving time for an unrelated crime?,no,no,,,
38,blood,blood-38,did the victim die near the man?,no,no,,,
39,blood,blood-39,did the victim have blood-related kinks?,no,"no, no one involved had blood-related kinks",,,
40,blood,blood-40,did the victim visit the jail?,no,"No, the victim did not visit jail!",,,
41,snakes,snakes-41,do more snakes come out in the rain?,No,No,,,
42,newspaper,newspaper-42,do non-citizens care about the publication?,no,no not really,,,
43,newspaper,newspaper-43,do people read it for fun?,yes,Yes?,,,
44,snakes,snakes-44,do people usually fly there?,No,No,,,
45,snakes,snakes-45,Do the people involved in the extraction fly there?,No,No,,,
46,airport,airport-46,do the people on the plane know they are commiting a crime?,Yes,Yes,,,
47,newspaper,newspaper-47,do they always publish on the same days each year?,yes,"Yes, it is always published on the same day, But NOT each year",,,
48,snakes,snakes-48,do they check the weather in case they cannot fly?,yes,yes!!!!!!!!!,5,,
49,snakes,snakes-49,do they have a doctor at the facility?,no,no doctor here,3,,
